p_stay,L_train,seed,true_gap,base_logloss,hmm_logloss,gap,separates,best_base_order
0.99,6000,0,0.028715,0.560458,0.529933,0.030525,True,4
0.99,6000,1,0.028715,0.578229,0.556209,0.02202,True,4
0.99,6000,2,0.028715,0.57313,0.540969,0.032161,True,4
0.99,6000,3,0.028715,0.57233,0.542025,0.030305,True,4
0.99,6000,4,0.028715,0.570271,0.538527,0.031743,True,4
0.99,6000,5,0.028715,0.568769,0.535063,0.033707,True,4
0.99,6000,6,0.028715,0.565805,0.538153,0.027652,True,4
0.99,6000,7,0.028715,0.549931,0.519768,0.030163,True,4
0.99,6000,8,0.028715,0.545701,0.514902,0.030799,True,4
0.99,6000,9,0.028715,0.557473,0.533594,0.023879,True,4
